sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",46.8,56.0,52.9,59.2,55.9,52.4,54.2,46.8,50.5,55.9,53.05999999999999,3392.897080183029
