sequence,Task1,Task2,Task3,Task4,Task5,Task6,Task7,Task8,Task9,Task10,Mean,Time_s
"(1, 0, 4, 9, 6, 5, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 6, 5, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 6, 5, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 6, 5, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 5, 6, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 5, 6, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 5, 6, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 4, 9, 5, 6, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 6, 5, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 6, 5, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 6, 5, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 6, 5, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 5, 6, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 5, 6, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 5, 6, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(1, 0, 9, 4, 5, 6, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 6, 5, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 6, 5, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 6, 5, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 6, 5, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 5, 6, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 5, 6, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 5, 6, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 4, 9, 5, 6, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 6, 5, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 6, 5, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 6, 5, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 6, 5, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 5, 6, 8, 2, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 5, 6, 8, 2, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 5, 6, 2, 8, 3, 7)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 1, 9, 4, 5, 6, 2, 8, 7, 3)",43.3,56.5,53.4,58.0,62.0,53.9,53.6,43.0,41.5,55.0,52.02,3746.360570669174
"(0, 9, 1, 7, 6, 4, 8, 2, 3, 5)",49.6,61.3,51.7,59.0,52.0,51.0,51.6,43.0,45.6,45.7,51.050000000000004,3998.564018726349
"(0, 9, 1, 7, 6, 4, 8, 2, 5, 3)",49.6,61.3,51.7,59.0,52.0,51.0,51.6,43.0,45.6,45.7,51.050000000000004,3998.564018726349
