sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,127.4954628944397
"(0, 4, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,127.4954628944397
"(4, 0, 2, 1, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,127.4954628944397
"(4, 0, 1, 2, 3)",97.83333333333333,91.66666666666667,95.16666666666667,96.5,97.66666666666667,95.76666666666668,127.4954628944397
"(1, 4, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,125.11022019386292
"(1, 4, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,125.11022019386292
"(4, 1, 2, 0, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,125.11022019386292
"(4, 1, 0, 2, 3)",96.16666666666667,91.33333333333333,96.16666666666667,94.83333333333333,97.66666666666667,95.23333333333333,125.11022019386292
"(4, 3, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,128.21787667274475
"(4, 3, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,128.21787667274475
"(3, 4, 0, 2, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,128.21787667274475
"(3, 4, 2, 0, 1)",93.33333333333333,98.5,99.16666666666667,89.83333333333333,74.33333333333333,91.03333333333333,128.21787667274475
"(4, 3, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,126.27533078193665
"(4, 3, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,126.27533078193665
"(3, 4, 0, 1, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,126.27533078193665
"(3, 4, 1, 0, 2)",93.16666666666667,96.5,95.16666666666667,96.83333333333333,91.16666666666667,94.56666666666668,126.27533078193665
"(0, 1, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,123.50586581230164
"(0, 1, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,123.50586581230164
"(1, 0, 2, 3, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,123.50586581230164
"(1, 0, 3, 2, 4)",98.5,91.66666666666667,83.33333333333333,90.83333333333333,91.5,91.16666666666666,123.50586581230164
"(2, 1, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,121.72267413139343
"(2, 1, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,121.72267413139343
"(1, 2, 0, 3, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,121.72267413139343
"(1, 2, 3, 0, 4)",94.66666666666667,98.0,99.33333333333333,95.33333333333333,93.0,96.06666666666666,121.72267413139343
"(0, 3, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,134.65097951889038
"(0, 3, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,134.65097951889038
"(3, 0, 4, 1, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,134.65097951889038
"(3, 0, 1, 4, 2)",85.33333333333333,97.16666666666667,88.66666666666667,96.0,80.0,89.43333333333334,134.65097951889038
"(4, 2, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,130.90990591049194
"(4, 2, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,130.90990591049194
"(2, 4, 0, 1, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,130.90990591049194
"(2, 4, 1, 0, 3)",91.16666666666667,94.83333333333333,99.0,97.16666666666667,94.16666666666667,95.26666666666668,130.90990591049194
"(3, 0, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,129.74831771850586
"(3, 0, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,129.74831771850586
"(0, 3, 2, 1, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,129.74831771850586
"(0, 3, 1, 2, 4)",92.66666666666667,99.0,92.5,94.66666666666667,90.66666666666667,93.9,129.74831771850586
"(3, 2, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,133.4589138031006
"(3, 2, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,133.4589138031006
"(2, 3, 1, 4, 0)",93.0,91.0,95.5,85.5,98.0,92.6,133.4589138031006
"(2, 3, 4, 1, 0)",93.0,91.0,95.5,85.5,98.0,92.6,133.4589138031006
