sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",50.0,50.0,50.0,50.0,50.0,50.0,17.955689907073975
"(0, 4, 1, 2, 3)",50.0,50.0,50.0,50.0,50.0,50.0,18.87098002433777
