sequence,Task1,Task2,Task3,Task4,Task5
"(0, 4, 1, 2, 3)",25.0,25.0,25.0,25.0,25.0
"(2, 3, 1, 0, 4)",25.0,25.0,25.0,25.0,25.0
"(0, 3, 4, 1, 2)",25.0,25.0,25.0,25.0,25.0
"(3, 1, 0, 4, 2)",25.0,25.0,25.0,25.0,25.0
