sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",98.33333333333333,85.83333333333333,85.0,86.66666666666667,92.5,89.66666666666666,24.972281455993652
"(0, 4, 1, 2, 3)",98.33333333333333,85.83333333333333,85.0,86.66666666666667,92.5,89.66666666666666,24.972281455993652
"(4, 0, 2, 1, 3)",98.33333333333333,85.83333333333333,85.0,86.66666666666667,92.5,89.66666666666666,24.972281455993652
"(4, 0, 1, 2, 3)",98.33333333333333,85.83333333333333,85.0,86.66666666666667,92.5,89.66666666666666,24.972281455993652
"(1, 4, 2, 0, 3)",89.16666666666667,72.5,84.16666666666667,90.0,89.16666666666667,85.00000000000001,24.960697174072266
"(1, 4, 0, 2, 3)",89.16666666666667,72.5,84.16666666666667,90.0,89.16666666666667,85.00000000000001,24.960697174072266
"(4, 1, 2, 0, 3)",89.16666666666667,72.5,84.16666666666667,90.0,89.16666666666667,85.00000000000001,24.960697174072266
"(4, 1, 0, 2, 3)",89.16666666666667,72.5,84.16666666666667,90.0,89.16666666666667,85.00000000000001,24.960697174072266
"(4, 3, 0, 2, 1)",71.66666666666667,74.16666666666667,87.5,79.16666666666667,80.83333333333333,78.66666666666666,24.707174062728882
"(4, 3, 2, 0, 1)",71.66666666666667,74.16666666666667,87.5,79.16666666666667,80.83333333333333,78.66666666666666,24.707174062728882
"(3, 4, 0, 2, 1)",71.66666666666667,74.16666666666667,87.5,79.16666666666667,80.83333333333333,78.66666666666666,24.707174062728882
"(3, 4, 2, 0, 1)",71.66666666666667,74.16666666666667,87.5,79.16666666666667,80.83333333333333,78.66666666666666,24.707174062728882
"(4, 3, 0, 1, 2)",80.83333333333333,91.66666666666667,96.66666666666667,89.16666666666667,87.5,89.16666666666667,24.512914419174194
"(4, 3, 1, 0, 2)",80.83333333333333,91.66666666666667,96.66666666666667,89.16666666666667,87.5,89.16666666666667,24.512914419174194
"(3, 4, 0, 1, 2)",80.83333333333333,91.66666666666667,96.66666666666667,89.16666666666667,87.5,89.16666666666667,24.512914419174194
"(3, 4, 1, 0, 2)",80.83333333333333,91.66666666666667,96.66666666666667,89.16666666666667,87.5,89.16666666666667,24.512914419174194
"(0, 1, 2, 3, 4)",98.33333333333333,85.83333333333333,57.5,91.66666666666667,80.0,82.66666666666666,24.511718273162842
"(0, 1, 3, 2, 4)",98.33333333333333,85.83333333333333,57.5,91.66666666666667,80.0,82.66666666666666,24.511718273162842
"(1, 0, 2, 3, 4)",98.33333333333333,85.83333333333333,57.5,91.66666666666667,80.0,82.66666666666666,24.511718273162842
"(1, 0, 3, 2, 4)",98.33333333333333,85.83333333333333,57.5,91.66666666666667,80.0,82.66666666666666,24.511718273162842
