sequence,Task1,Task2,Task3,Task4,Task5,Mean,Time_s
"(0, 4, 2, 1, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,149.038072347641
"(0, 4, 1, 2, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,149.038072347641
"(4, 0, 2, 1, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,149.038072347641
"(4, 0, 1, 2, 3)",98.16666666666667,84.16666666666667,87.16666666666667,73.83333333333333,87.16666666666667,86.1,149.038072347641
"(1, 4, 2, 0, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,145.62000107765198
"(1, 4, 0, 2, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,145.62000107765198
"(4, 1, 2, 0, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,145.62000107765198
"(4, 1, 0, 2, 3)",97.16666666666667,93.33333333333333,93.16666666666667,97.16666666666667,91.83333333333333,94.53333333333333,145.62000107765198
"(4, 3, 0, 2, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,137.96527910232544
"(4, 3, 2, 0, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,137.96527910232544
"(3, 4, 0, 2, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,137.96527910232544
"(3, 4, 2, 0, 1)",81.16666666666667,97.0,87.16666666666667,90.5,88.66666666666667,88.9,137.96527910232544
"(4, 3, 0, 1, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,161.08894038200378
"(4, 3, 1, 0, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,161.08894038200378
"(3, 4, 0, 1, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,161.08894038200378
"(3, 4, 1, 0, 2)",94.83333333333333,97.33333333333333,90.66666666666667,93.83333333333333,91.16666666666667,93.56666666666666,161.08894038200378
"(0, 1, 2, 3, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,143.92967534065247
"(0, 1, 3, 2, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,143.92967534065247
"(1, 0, 2, 3, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,143.92967534065247
"(1, 0, 3, 2, 4)",97.66666666666667,93.33333333333333,93.66666666666667,95.16666666666667,92.83333333333333,94.53333333333333,143.92967534065247
"(2, 1, 0, 3, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,138.67004299163818
"(2, 1, 3, 0, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,138.67004299163818
"(1, 2, 0, 3, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,138.67004299163818
"(1, 2, 3, 0, 4)",94.33333333333333,94.66666666666667,98.83333333333333,97.83333333333333,89.0,94.93333333333332,138.67004299163818
"(0, 3, 4, 1, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,140.41302514076233
"(0, 3, 1, 4, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,140.41302514076233
"(3, 0, 4, 1, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,140.41302514076233
"(3, 0, 1, 4, 2)",98.66666666666667,97.66666666666667,88.83333333333333,94.33333333333333,93.66666666666667,94.63333333333334,140.41302514076233
"(4, 2, 0, 1, 3)",94.83333333333333,92.16666666666667,93.83333333333333,92.33333333333333,76.16666666666667,89.86666666666666,143.38200974464417
"(4, 2, 1, 0, 3)",94.83333333333333,92.16666666666667,93.83333333333333,92.33333333333333,76.16666666666667,89.86666666666666,143.38200974464417
"(2, 4, 0, 1, 3)",94.83333333333333,92.16666666666667,93.83333333333333,92.33333333333333,76.16666666666667,89.86666666666666,143.38200974464417
"(2, 4, 1, 0, 3)",94.83333333333333,92.16666666666667,93.83333333333333,92.33333333333333,76.16666666666667,89.86666666666666,143.38200974464417
"(3, 0, 2, 1, 4)",95.33333333333333,98.0,97.5,93.66666666666667,92.66666666666667,95.43333333333334,134.08346343040466
"(3, 0, 1, 2, 4)",95.33333333333333,98.0,97.5,93.66666666666667,92.66666666666667,95.43333333333334,134.08346343040466
"(0, 3, 2, 1, 4)",95.33333333333333,98.0,97.5,93.66666666666667,92.66666666666667,95.43333333333334,134.08346343040466
"(0, 3, 1, 2, 4)",95.33333333333333,98.0,97.5,93.66666666666667,92.66666666666667,95.43333333333334,134.08346343040466
"(3, 2, 1, 4, 0)",95.66666666666667,92.0,95.33333333333333,74.33333333333333,98.16666666666667,91.1,137.2258222103119
"(3, 2, 4, 1, 0)",95.66666666666667,92.0,95.33333333333333,74.33333333333333,98.16666666666667,91.1,137.2258222103119
"(2, 3, 1, 4, 0)",95.66666666666667,92.0,95.33333333333333,74.33333333333333,98.16666666666667,91.1,137.2258222103119
"(2, 3, 4, 1, 0)",95.66666666666667,92.0,95.33333333333333,74.33333333333333,98.16666666666667,91.1,137.2258222103119
