task,er_mean,er_std,taylor_mean,taylor_std
Task1,62.58471237194642,29.263895145224822,57.17633990371315,23.272937822411507
Task2,86.0998204374796,11.319098729127978,56.96832555630708,23.990834280413427
Task3,71.29624688722875,21.096830356267112,63.49660167664767,25.44589279364837
Task4,83.0685632762672,17.40562065725297,65.10666101857218,24.85900128666959
Task5,70.571104387292,24.11259947133648,99.74814301834296,0.2515840091592075
